bug_id	summary	desc	report_time	report_timestamp	status	commit	commit_timestamp	files
56012	Consistency in space at top of launch configuration tabs	Some of the tabs have space at the top, some do not.I would propose we be consistent and have no space at the top of the tabs. This helps with the requirements of the tabs fitting on the screen when using high contrast. I think we should really re-vamp the layout on many tabs. Not sure we'll have the cycles though. Fixed. Changes in:- AntBuildTab- CommonTab- RefreshTab- SourceLookupTab- AppletMainTab- AppletParametersTab- JavaMainTab Please verify, Darin (S) Verified. 	2014-01-15 07:30:17	1389790000.0	resolved fixed	42056be	1390080000.0	java/org/apache/jasper/compiler/PageInfo.java java/org/apache/jasper/compiler/Validator.java
56029	Infocenter opens on busy port	"I have apache running on port 80.  Starting help infocenter on this port produces no error.  Infocenter is running.  Content cannot be displayed as this port is served by apache.  A consequence is also that infocenter cannot be closed programatically.  Issuing command to shutdown does nothing and reports a time out.  Infocetner can only be killed brutally.The error about port being taken is produced but it is being logged in the catalina.*.log. and otherwise ignored.  Infocenter should report it on the command line and exit. 1.  Tomcat codeEmbedded.addConnector(Connector) does not throw exception.I have added lifecycle listener to CoyoteConnector.  Absence of ""start"" event indicates problem and we throw exeption.2.  org.eclipse.help.internal.standalone.EclipseController had a bug where eclipseEnded() listener method has not done much to stop controller from looping.Problems fixed.  Infocenter now exits and the error message is printed if infocenter was started with -noexec, otherwise eclipse.exe uses javaw.exe and eats the output. "	2014-01-18 12:42:47	1390070000.0	resolved fixed	b430e29	1390070000.0	java/org/apache/jasper/compiler/ELParser.java test/org/apache/jasper/compiler/TestELParser.java
55943	[Global Sync] Global sync and workspace population	It would be nice if we could tie global sync to workspace population, at least for CVS. When I started up an empty workspace, the global sync button was in the toolbar. Selecting CVS gave me a page which stated there were no CVS projects in my workspace. It would be nice if the user was given the opportunity to create repository locations and checkout projects at this point.I don't know if we want to have the checkout part of the global sync wizard in general but it would be really helpful if it was part of the no-project case. *** This bug has been marked as a duplicate of 62962 *** 	2014-01-01 10:02:46	1388590000.0	resolved fixed	f28800c	1389970000.0	java/org/apache/catalina/loader/WebappClassLoader.java
56025	Log goes in config area then gets blown away by PDE	"build I20040324-0800Scenario: I want to run my RCP app as a runtime-workbench, where my workspaceand/or install contain other plugins that I don't want picked up for free.Example: the RCP browser example- load org.eclipse.ui.examples.rcp.browser- create a runtime workbench launch config for it- on the plugins page, carefully choose the plugins required:  - org.eclipse.core.runtime  - org.eclipse.core.runtime.compatibility  - org.eclipse.osgi.*  - org.eclipse.swt and its platform fragment  - org.eclipse.jface  - org.eclipse.ui  - org.eclipse.ui.workbench  - org.eclipse.ui.examples.rcp.browser- accidentally omit one of the above (in my case, it was the browser plugin (OK, so I'm sleep-deprived))- run - the process comes up then terminates with no help- no workspace directory exists yet- PDE has blown away the config area, so there's no log to consultThis makes it really hard to debug this stuff, which is tricky enough to beginwith.  And I have a clue where to look.  Novice RCP developers will not.Is there anything that can be done, either in the runtime or PDE, to simplifythis for M8? I notice the Plugins tab now has Add Required Plugins, which helps (as long asyou don't forget the app plugin like me).  But it's still easy for people tomake a mistake here, so it should be easy to find out what's wrong. Dup.  Runtime is not throwning an exception all the way back so PDE does not know that there was a failure.  However, PDE likely blow away the config area anyway.  We may be able to do something for M8 but this feels tricky to coordinate so would like the feeling that it is really important before trying.*** This bug has been marked as a duplicate of 56002 *** reopening and moving to PDE.  Runtime will use bug 56002 as its tracker. Please see the suggestion in bug 56002 comment #7. Currently, upon exit code 13, if PDE detects a log file in the workspace area, we tell the user and offer to open it.  The reason why we were not doing it for the other log is because we were not aware of it (until last Thurs that is).  We should definitely account for it.Recently though, I noticed that the log written to the config area is not called .log anymore, it is named for it seems to be a timestamp.  I'm not sure why the change (Jeff could comment here), but it makes sense more difficult. One more thing:As for deleting the config area, we should definitely change the semantic of this action to delete upon launching, and not upon termination. (to be consistent with deleting the workspace area).The default would be to delete the config area.  This is because most users are unaware and do not care about config area.  If we did not delete by default, the pde core metadata (where we keep them) could accumulate a lot of garbage over time. We should be able to make good progress on this.  The config log is timestamped because you could have several instances of the same config running at the same time.  You need a way of distinguishing the logs.  Note however that since you are in control of the config area a) there should really only be one *.log file there (assuming you clean it out before running) and b) you don't really care what the timestamp is, you just look for something .log.Note that there is currently (I believe) a bug whereby under certain circumstances the config log is called simply .log rather than <timestamp>.log.  This is being fixed but may not be committed yet.  Changing the default to delete the config area on startup would go a long way here.In the longer term there is a new story for returning values to whoever invoked Eclipse.  We (will) use this to return the actual location of the log file we are using and other information depending on the case.  PDE may want to use this both to better match the normal running case and to give users more information. The simplest and most accurate solution would be for me to scan:1. the workspace metadata for the .log file2. the config area for all *.log filesTake a look at all the files found in 1 and 2 and display the one with the latest timestamp to the user. Deleting the config area on launch rather than termination would help a lot.The PDE config area is pretty buried, though it is referred to in the commandline args.  Having some kind of detection of the log files like you proposewould be good.  Not sure about picking one log over the others though.  We'vehad cases where the same invocation can write to both the config log and theworkspace log. >Not sure about picking one log over the others though.  We've>had cases where the same invocation can write to both the config log and the>workspace log.Picking the latest one among all *.log files would definitely contain the last thing that went wrong before the application exited.Two problems with your suggestion:1. If we always pick the latest from the config area AND the the one in the workspace metadata, there is a pretty good chance that one of these files will be stale and not be relevant to why this particular launch exited abnormally.2. This one is purely esthetic.  I'm not sure how we would present the option to the user to open the two files.. Two buttons: one for each file?  Are the buttons in a message dialog?  If they are in a message dialog, when do we dismiss it?  Do we concatenate the two files?  Probably not a good idea. Well, anything would be an improvement over the situation now, and keeping itsimple is good at this point. Absolutely.  Plus, at 12:30 am you would agree to anything :-) Done.Changed the semantics of clearing to ""before launching"" not after.We look for all the log files and offer to open the latest. Wassim, do you take the exit code to understand if an error happened, or youjust look for log files ? exit code 13 only. For clarity here, our fix to bug 56002 and bug 55768 result in a log that is either    <config>/<timestamp>.logor    <instance>/.metadata/.logUnless something very strange happens (or we have a bug) only one of these log files should be present when the system exits. "	2014-01-17 08:23:30	1389970000.0	resolved fixed	11b1e83	1389960000.0	java/org/apache/tomcat/websocket/server/UpgradeUtil.java
56010	[Workbench]  Startup extension point should handle multiple <startup> elements	"build I20040324From bug 55901:The patch does not seem to handle the case where there are multiple <startup>elements in the same extension.It should handle all the following cases:<extension point=""org.eclipse.ui.startup"" /> - invoke IStartup.earlyStartup() on plugin class- no <startup> element necessary<extension point=""org.eclipse.ui.startup"">   <startup/></extension>- invoke IStartup.earlyStartup() on plugin class- <startup> element doesn't hurt<extension point=""org.eclipse.ui.startup"">   <startup class=""SomeClass""/></extension>- invoke IStartup.earlyStartup() on SomeClass- <startup> element is required to specify explicit class<extension point=""org.eclipse.ui.startup"">   <startup class=""SomeClass""/>  <startup class=""SomeOtherClass""/></extension>- invoke IStartup.earlyStartup() on both SomeClass and SomeOtherClass- <startup> element is required to specify explicit class Note: this may seem like a nit, but other Workbench extensions allow multiplecontributions to made from the same extension (e.g. views, action sets), so Ithink it's important to be consistent. Created attachment 8994examine all startup tagsThis patch handles all the cases described in this bug as well as the following(which is really just a special case of the first sample):    <extension point=""org.eclipse.ui.startup""> 	<other_tag/>    </extension>    - invoke IStartup.earlyStartup() on plugin class    - an unrecognized element doesn't hurt Patch applied, thanks. Note: the patch included:+		instance = null;at the end of runUI.Was this deliberate?  I've removed it again.  See bug 56749 comment #3. "	2014-01-15 03:34:23	1389770000.0	resolved fixed	48650dd	1389880000.0	java/org/apache/jasper/runtime/PageContextImpl.java test/org/apache/jasper/runtime/TestPageContextImpl.java
55996	[Sharing Wizard] Resize on sync page	M8 candidateI always find myself resizing the sharing wizard when the last page is shown. Basically it's unusable with the default size. There are two options:1. provide better default wizard size, or2. resize wizard when sync view page is shownI seem to recall that jdt refactoring does wizard resizing when showing the preview of the changes. Fixed 	2014-01-13 06:12:37	1389610000.0	resolved fixed	553ad39	1389720000.0	java/org/apache/tomcat/util/net/SocketWrapper.java
55995	[Sync View] Shows modal progress in wizards	M8 contributionIt looks really weird to have the wizards perform work, sometimes, long running, and not have the progress bar used in the wizard. Since the wizard ops are by definition modal we should run operations that way.We may have to add some magic to provide a runnable context to object contributions so that they can run in the wizard. Although tricky it would provide for a better user experience. Magic added 	2014-01-13 05:55:30	1389610000.0	resolved fixed	5e6b884	1389700000.0	java/org/apache/jasper/compiler/TldCache.java
55893	Clicking on the x for error correction hangs	"I am using eclipse to write a plug in project. I write a method that does not exist in a class. I get an error and the x appears on the file's border. I click on it, and it suggests either replacing that method name with another one, or creating that method in the class. I chose to create that method. 5 minute later, the method has not been created, eclipse freezes, and shows me the ""Application Not Responding"" in the eclipse title. I kill the job, and launch eclipse again. Go back to the x, chose create method, and it works fine.Then I decide to create another method, and same problem happens. I had to kill eclipse and start it over. Then it works fine.And I use the x to create a method for a 3 rd time. Same problem.No error log was created.It also seems that the Problems table is not updated until I actually open a project file. It only shows me 1 warning, and then populates all the errors and other warnings as I open one of my project's java files.I am using:Eclipse PlatformVersion: 3.0.0Build id: 200403240010 Note: when reporting deadlocks a thread dump is needed. This allows to see whatis causing the lock.*** This bug has been marked as a duplicate of 55867 *** "	2013-12-16 21:24:37	1387250000.0	resolved fixed	92ce68a	1389360000.0	java/org/apache/catalina/valves/AbstractAccessLogValve.java java/org/apache/catalina/valves/AccessLogValve.java
55978	[DND] Editor splitting, box moving.	I'm using a pair of datahands (http://datahand.com) with an integrated mouseand, while it is generally fantastic, the mouse does not offer sufficientprecision to allow for repeatable box repositioning.  ie: it is not alwayspossible to d&d an editor tab to the right border, as the arrow may not show up,or may only represent the other side of the border.  I have the same problemswith window resizing, but that can be overcome by choosingsize->[left|right|top|bottom] from the box menu.  A similar solution in the boxmenu for repositioning would be very useful, ie:reposition->[left|right|top|bottom].Andy *** This bug has been marked as a duplicate of 55412 *** 	2014-01-08 10:37:25	1389200000.0	resolved fixed	bd24edc	1389350000.0	java/org/apache/coyote/AbstractProtocol.java java/org/apache/coyote/http11/upgrade/AbstractProcessor.java java/org/apache/coyote/http11/upgrade/AbstractServletOutputStream.java java/org/apache/coyote/http11/upgrade/AprServletOutputStream.java java/org/apache/coyote/http11/upgrade/BioServletOutputStream.java java/org/apache/coyote/http11/upgrade/NioServletOutputStream.java test/org/apache/coyote/http11/upgrade/TestUpgrade.java
55976	[OLE] Open with in-place editor on html file freezes	"<Pyinson Data Over Head> Michael: does the freeze occur for every html file you try to open inside Eclipse?M8- On Grant and Steve's box, in place editor spawns a separate IE navigator and an Eclipse editor that contains an icon representing the html file.- I am getting an error dialog ""Unable to create part : about:html"" when double-clicking on org.eclipse.swt/about.html (popup menu: open with in place editor).And the following stack trace.org.eclipse.swt.SWTException: Class ID not found in registry result = -2147221018	at org.eclipse.swt.ole.win32.OLE.error(OLE.java:317)	at org.eclipse.swt.ole.win32.OleClientSite.<init>(OleClientSite.java:178)	at org.eclipse.ui.internal.editorsupport.win32.OleEditor.createClientSite(OleEditor.java:227)	at org.eclipse.ui.internal.editorsupport.win32.OleEditor.createPartControl(OleEditor.java:215)	at org.eclipse.ui.internal.PartPane$1.run(PartPane.java:94)	at org.eclipse.core.internal.runtime.InternalPlatform.run(InternalPlatform.java:610)	at org.eclipse.core.runtime.Platform.run(Platform.java:521)	at org.eclipse.ui.internal.PartPane.createChildControl(PartPane.java:90)	at org.eclipse.ui.internal.PartPane.createControl(PartPane.java:154)	at org.eclipse.ui.internal.EditorWorkbook.showPart(EditorWorkbook.java:467)	at org.eclipse.ui.internal.EditorWorkbook.add(EditorWorkbook.java:289)	at org.eclipse.ui.internal.EditorArea.addEditor(EditorArea.java:56)	at org.eclipse.ui.internal.EditorPresentation.openEditor(EditorPresentation.java:225)	at org.eclipse.ui.internal.EditorManager$2.run(EditorManager.java:550)	at org.eclipse.swt.custom.BusyIndicator.showWhile(BusyIndicator.java:84)	at org.eclipse.ui.internal.EditorManager.createEditorTab(EditorManager.java:539)	at org.eclipse.ui.internal.EditorManager.openSystemInPlaceEditor(EditorManager.java:689)	at org.eclipse.ui.internal.EditorManager.openEditorFromDescriptor(EditorManager.java:441)	at org.eclipse.ui.internal.EditorManager.openEditor(EditorManager.java:426)	at org.eclipse.ui.internal.WorkbenchPage.busyOpenEditor(WorkbenchPage.java:2128)	at org.eclipse.ui.internal.WorkbenchPage.access$6(WorkbenchPage.java:2071)	at org.eclipse.ui.internal.WorkbenchPage$9.run(WorkbenchPage.java:2058)	at org.eclipse.swt.custom.BusyIndicator.showWhile(BusyIndicator.java:84)	at org.eclipse.ui.internal.WorkbenchPage.openEditor(WorkbenchPage.java:2053)	at org.eclipse.ui.internal.WorkbenchPage.openEditor(WorkbenchPage.java:2036)	at org.eclipse.ui.actions.OpenWithMenu.openEditor(OpenWithMenu.java:258)	at org.eclipse.ui.actions.OpenWithMenu.access$0(OpenWithMenu.java:251)	at org.eclipse.ui.actions.OpenWithMenu$2.handleEvent(OpenWithMenu.java:166)	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:82)	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:769)	at org.eclipse.swt.widgets.Display.runDeferredEvents(Display.java:2584)	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:2262)	at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:1541)	at org.eclipse.ui.internal.Workbench.runUI(Workbench.java:1515)	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:257)	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:139)	at org.eclipse.ui.internal.ide.IDEApplication.run(IDEApplication.java:90)	at org.eclipse.core.internal.runtime.PlatformActivator$1.run(PlatformActivator.java:288)	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:232)	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:116)	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)	at java.lang.reflect.Method.invoke(Unknown Source)	at org.eclipse.core.launcher.Main.basicRun(Main.java:315)	at org.eclipse.core.launcher.Main.run(Main.java:740)	at org.eclipse.core.launcher.Main.main(Main.java:724) Verified also broken in M6 for me. correction comment 2: I meant M7 shows the same problem for me. Yes, the freeze happens every time for me. OLE problem - reassigning to Veronikahappens on other files too such as plugin.properties I cannot replicate the problem using Eclipse 3.3 RC2. I was able to open an embedded Web Browser inside an Eclipse editor and it did not hang. "	2014-01-08 09:52:04	1389190000.0	closed fixed	d423ae2	1389300000.0	java/org/apache/coyote/http11/Http11NioProcessor.java
